,teams,1_star,X_star,2_star,under_star,goals_star,over_star
309,Thun  Xamax,1.60,4.00,4.65,2.23,2.5,1.58
310,Vaduz  Lausanne Ouchy,2.25,3.70,2.70,2.40,2.5,1.51
311,Bellinzona  Schaffhausen,2.10,3.45,3.10,1.97,2.5,1.75
312,Utakmica,1,X,2,,2.5,i
313,Kasimpasa  Gaziantep FK,2.26,3.60,2.90,2.30,2.5,1.62
314,Kayserispor  Trabzonspor,3.40,3.50,2.06,2.00,2.5,1.81
315,Ankaraguçu  Ist. Basaksehir,3.95,3.45,1.95,1.86,2.5,1.97
316,Adana Demirspor  Galatasaray,2.65,3.40,2.60,2.13,2.5,1.72
317,Sivasspor  Hatayspor,2.05,3.40,3.55,1.86,2.5,1.95
318,Alanyaspor  Giresunspor,1.95,3.55,3.85,2.00,2.5,1.82
319,Konyaspor  Umraniyespor,1.65,3.85,5.30,2.00,2.5,1.85
320,Besiktas  Fenerbahçe,2.50,3.55,2.70,2.40,2.5,1.58
321,Utakmica,1,X,2,,2.5,i
322,Pendikspor  Goztepe,2.04,3.30,3.50,1.77,2.5,1.98
323,Sakaryaspor  Yeni Malatyaspor,1.75,3.60,4.40,1.94,2.5,1.80
324,Rizespor  Bodrumspor,2.15,3.35,3.20,1.87,2.5,1.87
325,Altay  Eyüpspor,4.10,3.45,1.85,1.80,2.5,1.94
326,Bandırmaspor  Samsunspor,2.45,3.25,2.80,1.80,2.5,1.94
327,Manisa BBSK  Adanaspor AS,1.78,3.55,4.25,1.91,2.5,1.83
328,Boluspor  Tuzlaspor,1.84,3.40,4.15,1.76,2.5,2.00
329,Altinordu  Keciorengucu,2.85,3.25,2.40,1.79,2.5,1.95
330,Erzurum BB  Denizlispor,1.87,3.45,3.90,1.87,2.5,1.87
331,Utakmica,1,X,2,,2.5,i
332,Hearts  Glasgow Rangers,4.50,4.00,1.71,2.30,2.5,1.63
333,St. Mirren  Livingston,2.25,3.15,3.25,1.63,2.5,2.30
334,Aberdeen  Kilmarnock,1.70,3.65,5.15,1.75,2.5,2.09
335,Celtic  Motherwell,1.13,8.00,16.8,5,2.5,1.33
336,Ross County  Hibernian,3.60,3.30,2.07,1.70,2.5,2.16
337,Dundee United  St. Johnstone,2.50,3.05,2.95,1.57,2.5,2.40
