,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched2,score,Unnamed: 0,teams,1_star,X_star,2_star,under_star,goals_star,over_star
34,3.6,4.0,1.8,2.6,2.5,1.45,Zwolle W Fortuna Sittard W,3.85,3.9,1.74,2.6,2.5,1.44,PEC Zwolle (W)  Fortuna Sittard (W),93,451,PEC Zwolle (W)  Fortuna Sittard (W),3.80,4.00,1.71,2.5,2.5,1.44
35,1.85,3.75,3.65,2.1,2.5,1.65,Hannover 2 Hildesheim,1.77,3.75,3.9,2.28,2.5,1.56,Hannover II  Borussia 06 Hildesheim,73,301,Hannover II  Borussia 06 Hildesheim,1.77,3.75,3.65,2.19,2.5,1.55
36,2.05,3.7,3.1,2.2,2.5,1.6,Oberhausen Duren,2.1,3.55,3.0,2.22,2.5,1.59,Oberhausen  Duren,100,310,Oberhausen  Duren,1.96,3.60,3.25,2.19,2.5,1.58
37,2.2,3.75,2.6,2.75,2.5,1.4,ASV Drassburg Kremser,2.38,3.6,2.55,2.65,2.5,1.42,Drassburg  Kremser SC,83,509,Drassburg  Kremser SC,1.95,3.70,2.75,2.6,2.5,1.38
38,2.75,3.55,2.15,2.22,2.5,1.58,SC Weiz Gleisdorf,2.5,3.6,2.4,2.3,2.5,1.54,Weiz  Gleisdorf,90,504,Weiz  Gleisdorf,2.65,3.55,2.22,2.23,2.5,1.53
39,1.9,3.9,3.1,2.85,2.5,1.37,Kalsdorf Treibach,1.87,4.33,3.1,3.05,2.5,1.33,Kalsdorf  Treibach Al.,92,503,Kalsdorf  Treibach Al.,1.91,3.90,2.9,2.85,2.5,1.32
40,2.3,3.55,2.55,2.48,2.5,1.47,Deutschlandsberger Bad Gleichenberg,2.3,3.4,2.75,2.55,2.5,1.45,Deutschlandsberger  Bad Gleichenberg,100,502,Deutschlandsberger  Bad Gleichenberg,2.08,3.80,2.75,2.5,2.5,1.43
41,1.95,3.15,3.9,1.6,2.5,2.18,FC Martigues Paris 13 Atletico,2.05,3.15,3.75,1.62,2.5,2.18,Martigues  Paris 13 Atletico,95,243,Martigues  Paris 13 Atletico,1.95,3.15,3.75,1.59,2.5,2.16
42,1.8,3.5,4.1,1.8,2.5,1.9,Nancy Cholet,1.81,3.5,4.3,1.79,2.5,1.93,Nancy  Cholet,100,245,Nancy  Cholet,1.76,3.40,4.25,1.77,2.5,1.91
43,2.3,3.15,2.95,1.65,2.5,2.08,Orleans Villefranche,2.5,3.1,2.88,1.62,2.5,2.18,Orleans  Villefranche,100,244,Orleans  Villefranche,2.40,3.10,3.0,1.62,2.5,2.20
44,1.18,6.7,11.4,3.2,2.5,1.3,Feyenoord Rotterdam W SC Telstar VVNH W,1.15,7.3,12.0,3.2,2.5,1.29,Feyenoord (W)  Telstar (W),70,452,Feyenoord (W)  Telstar (W),1.20,5.60,8.5,0.0,2.5,1.29
45,2.45,3.65,2.5,2.43,2.5,1.5,Yverdon Aarau,2.45,3.7,2.55,2.45,2.5,1.5,Yverdon  Aarau,100,523,Yverdon  Aarau,2.30,3.70,2.6,2.4,2.5,1.51
46,2.3,3.3,2.85,1.97,2.5,1.75,Virton Club Brugge KV U23,2.35,3.25,3.0,1.88,2.5,1.84,Excelsior Virton  Club Brugge U23,81,465,Excelsior Virton  Club Brugge U23,2.22,3.45,3.0,2.01,2.5,1.75
47,2.05,3.6,3.15,2.05,2.5,1.7,Genk U23 Dender,2.03,3.5,3.45,2.1,2.5,1.67,Genk U23  Dender,100,464,Genk U23  Dender,1.95,3.50,3.6,2.08,2.5,1.70
48,2.5,3.35,2.75,1.85,2.5,1.85,Almere City Roda,2.45,3.35,2.8,1.93,2.5,1.79,Almere City  Roda,100,447,Almere City  Roda,2.35,3.25,2.9,1.97,2.5,1.78
49,1.52,4.5,5.5,2.32,2.5,1.55,De Graafschap AZ Alkmaar 2,1.55,4.35,5.4,2.4,2.5,1.52,De Graafschap  Jong AZ Alkmaar,87,439,De Graafschap  Jong AZ Alkmaar,1.52,4.05,5.7,2.35,2.5,1.55
50,4.9,4.15,1.62,2.23,2.5,1.6,Den Bosch Heracles,4.9,4.05,1.65,2.3,2.5,1.55,Den Bosch  Heracles Almelo,84,441,Den Bosch  Heracles Almelo,5.15,3.80,1.62,2.16,2.5,1.65
51,1.9,3.85,3.6,2.23,2.5,1.6,Den Haag PSV 2,1.93,3.7,3.65,2.28,2.5,1.57,Den Haag  Jong PSV,77,440,Den Haag  Jong PSV,1.87,3.55,3.8,2.24,2.5,1.60
52,1.48,4.5,6.0,2.35,2.5,1.55,Eindhoven Dordrecht,1.48,4.35,6.5,2.22,2.5,1.59,Eindhoven  Dordrecht,100,445,Eindhoven  Dordrecht,1.46,4.20,6.5,2.3,2.5,1.57
