,teams,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
130,Luebeck Atlas Delmenhorst,1.54,4.00,5.20,2.20,2.5,1.60
131,Maastricht Willem II,5.40,4.33,1.56,2.35,2.5,1.54
132,Mezokovesd Zsory Paks,2.45,3.55,2.60,2.30,2.5,1.56
133,NAC Breda Venlo,1.85,3.95,3.75,2.45,2.5,1.49
134,PEC Zwolle Ajax 2,1.52,4.75,5.30,2.95,2.5,1.35
135,Sporting Gil Vicente,1.32,5.25,10.00,2.30,2.5,1.62
136,Telstar Utrecht 2,2.00,3.60,3.55,2.07,2.5,1.69
137,Universitatea Craiova FC Voluntari,1.56,3.60,6.60,1.66,2.5,2.10
138,Alianza Atletico U. de Deportes,2.70,3.20,2.60,1.78,2.5,1.94
139,Lausanne Wil,1.70,4.05,4.30,2.55,2.5,1.46
140,Thun Xamax,1.65,3.95,4.75,2.25,2.5,1.58
141,Bayern Munich Bayer Leverkusen,1.34,5.90,7.60,3.90,2.5,1.26
142,Chojniczanka Wisla Krakow,3.55,3.20,2.07,1.85,2.5,1.86
143,Cosenza Como,2.65,3.20,2.75,1.75,2.5,2.05
144,St. Polten Amstetten,2.22,3.45,3.10,2.04,2.5,1.71
145,Wisla Plock Piast Gliwice,2.50,3.30,2.88,1.85,2.5,1.92
146,Athlone Longford,4.50,3.90,1.63,2.35,2.5,1.53
147,Bohemians UC Dublin,1.42,4.40,7.90,2.02,2.5,1.78
148,Dundalk Drogheda,1.46,4.30,7.20,2.02,2.5,1.77
149,Glentoran Ballymena,1.38,4.85,7.20,2.25,2.5,1.59
150,Mansfield Hartlepool,1.46,4.30,7.10,1.96,2.5,1.82
151,Portadown Glenavon,5.40,4.10,1.56,2.20,2.5,1.61
152,St. Patricks Derry City,2.90,3.25,2.45,1.83,2.5,1.95
153,Standard Liege RFC Seraing,1.62,3.95,5.50,2.05,2.5,1.75
154,Treaty United Galway,4.70,3.50,1.69,1.85,2.5,1.85
155,Waterford Cobh Ramblers,1.18,6.30,12.00,2.95,2.5,1.35
156,Wexford Bray,1.82,3.60,3.80,2.07,2.5,1.67
157,Hull Luton,2.95,3.25,2.50,1.78,2.5,2.04
