,Unnamed: 0_x,teams_x,1_star,X_star,2_star,under_star,goals_star,over_star,teams_matched,score,Unnamed: 0_y,teams_y,1_max,X_max,2_max,under_max,goals_max,over_max
10,175,Paderborn 07  Darmstadt,2.35,3.70,2.7,2.6,2.5,1.50,Paderborn  Darmstadt,93,89,Paderborn  Darmstadt,2.35,3.70,2.8,2.60,2.5,1.48
11,176,Hannover  Hamburger,3.25,3.65,2.1,2.3,2.5,1.63,Hannover  Hamburger,100,88,Hannover  Hamburger,3.1,3.70,2.15,2.35,2.5,1.58
12,185,Aue  Meppen,2.01,3.55,3.35,1.99,2.5,1.77,Aue  Meppen,100,91,Aue  Meppen,2.2,3.30,3.2,1.95,2.5,1.80
13,191,Duisburg  Hallescher,1.88,3.65,3.65,2.07,2.5,1.71,Drassburg  Kremser,61,29,Drassburg  Kremser,2.2,3.55,2.7,2.75,2.5,1.35
14,239,Standard  Seraing,1.58,3.95,5.5,2.09,2.5,1.75,ASM Oran  Saida,60,10,ASM Oran  Saida,1.7,3.05,5.2,1.42,2.5,2.50
15,257,Porto  Braga,1.75,3.70,4.6,2.12,2.5,1.73,Grau  Sport Boys,62,155,Grau  Sport Boys,1.55,3.65,5.75,1.73,2.5,1.98
16,261,Rio Ave  Santa Clara,2.5,3.00,3.1,1.62,2.5,2.30,Santa Fe  Atl. Nacional,60,52,Santa Fe  Atl. Nacional,2.55,3.40,2.5,1.70,2.5,2.00
17,273,First Vienna  Kapfenberg,1.42,4.50,6.25,2.4,2.5,1.50,First Vienna  Kapfenberg,100,23,First Vienna  Kapfenberg,1.4,4.70,6.0,2.45,2.5,1.48
18,274,Vorwarts Steyr  Horn,3.25,3.45,2.09,2.1,2.5,1.68,Vorwarts S.  Horn,88,24,Vorwarts S.  Horn,2.9,3.30,2.25,2.10,2.5,1.65
19,275,Dornbirn  Austria W. II,2.35,3.60,2.6,2.3,2.5,1.55,Dornbirn  Austria V. II,95,22,Dornbirn  Austria V. II,2.4,3.70,2.5,2.55,2.5,1.45
20,284,Kalsdorf  Treibach Al.,2.14,3.75,2.55,2.6,2.5,1.38,Steinbach  Aalen,63,108,Steinbach  Aalen,1.65,3.80,4.55,2.30,2.5,1.55
21,285,Weiz  Gleisdorf,3.35,3.65,1.87,2.2,2.5,1.55,SC Weiz  Gleisdorf,90,27,SC Weiz  Gleisdorf,3.2,3.50,1.95,2.25,2.5,1.53
22,288,Drassburg  Kremser SC,1.91,3.75,2.8,2.6,2.5,1.38,Drassburg  Kremser,92,29,Drassburg  Kremser,2.2,3.55,2.7,2.75,2.5,1.35
23,289,Traiskirchen  ASK Elektra,2.75,3.50,2.2,2.24,2.5,1.53,Traiskirchen  TWL Elektra,83,30,Traiskirchen  TWL Elektra,2.6,3.35,2.35,2.20,2.5,1.53
24,290,Wiener SK  Mauerwerk,1.57,4.00,4.1,2.45,2.5,1.43,Wiener S.  Mauerwerk FC,90,31,Wiener S.  Mauerwerk FC,1.63,3.85,4.2,2.55,2.5,1.40
25,300,Yverdon  Aarau,2.65,3.75,2.25,2.55,2.5,1.45,Yverdon  Aarau,100,176,Yverdon  Aarau,2.6,3.60,2.35,2.70,2.5,1.42
26,353,ASM Oran  MC Saida,1.7,3.20,4.85,0.25,2.5,4.40,ASM Oran  Saida,90,10,ASM Oran  Saida,1.7,3.05,5.2,1.42,2.5,2.50
27,354,Temouchent  RC Kouba,1.43,3.75,7.0,0.19,2.5,4.20,Temouchent  RC Kouba,100,15,Temouchent  RC Kouba,1.42,3.80,7.0,1.58,2.5,2.15
28,355,MO Constantine  Skikda,1.42,3.75,6.5,0.03,2.5,3.75,MO Constantine  Skikda,100,13,MO Constantine  Skikda,1.45,3.70,6.6,1.63,2.5,2.05
29,357,Barracas Central  Gimnasia LP,2.65,3.10,2.7,1.61,2.5,2.35,Barracas C.  Gimnasia LP,88,1,Barracas C.  Gimnasia LP,2.0,2.85,3.2,2.90,2.5,1.60
30,357,Barracas Central  Gimnasia LP,2.65,3.10,2.7,1.61,2.5,2.35,Barracas C.  Gimnasia LP,88,17,Barracas C.  Gimnasia LP,2.7,3.00,2.75,1.50,2.5,2.45
31,359,Ararat Armenia  BKMA Yerevan,1.15,5.80,14.8,1.0,2.5,1.60,AraratArm.  BKMA,68,19,AraratArm.  BKMA,1.15,6.10,17.0,2.15,2.5,1.58
32,360,Ararat Yerevan  FC Urartu,3.05,3.00,2.25,1.59,2.5,2.12,Ararat Y.  Urartu,77,20,Ararat Y.  Urartu,3.05,2.90,2.3,1.58,2.5,2.12
33,367,Sabail  Qabala,3.45,3.15,2.04,1.62,2.5,2.12,Sabail  Gabala,92,33,Sabail  Gabala,3.25,2.90,2.15,1.58,2.5,2.12
34,382,Velež  NK Posušje,1.63,3.40,5.05,1.6,2.5,2.10,Velez M.  Posusje,77,39,Velez M.  Posusje,1.68,3.40,5.1,1.65,2.5,2.12
35,383,Tuzla City  Sarajevo,2.3,3.10,2.95,1.62,2.5,2.12,Tuzla City  Sarajevo,100,38,Tuzla City  Sarajevo,2.35,2.95,3.05,1.63,2.5,2.12
