,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,Unnamed: 0_y,teams_y,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
71,75,S Motala AIF IF Sylvia,2.0,3.6,3.05,2.3,2.5,1.55,Motala Sylvia,74,88,Motala Sylvia,1.94,3.75,3.25,2.6,2.5,1.44
72,76,JG FBK Balkan Rosengard,4.35,3.9,1.67,2.42,2.5,1.5,Balkan Rosengard,82,75,Balkan Rosengard,4.10,3.95,1.69,2.55,2.5,1.45
73,77,JG FK Karlskrona Asarums IF,1.72,3.8,3.75,2.43,2.5,1.5,Karlskrona Asarums,80,85,Karlskrona Asarums,1.72,3.90,4.00,2.5,2.5,1.47
74,78,JG Kristianstad Hassleholms IF,2.85,3.55,2.1,2.3,2.5,1.55,Kristianstads Hassleholms IF,93,87,Kristianstads Hassleholms IF,2.85,3.50,2.22,2.38,2.5,1.51
75,79,B Aschaffenburg Turkgucu Munchen,2.55,3.3,2.55,2.25,2.5,1.57,Aschaffenburg Turkgucu Munchen,97,71,Aschaffenburg Turkgucu Munchen,2.45,3.60,2.50,2.25,2.5,1.57
76,80,B Augsburg II Hankofen-Hailing,1.9,3.7,3.5,2.3,2.5,1.55,Augsburg 2 Hankofen Hailing,88,73,Augsburg 2 Hankofen Hailing,1.85,3.80,3.50,2.35,2.5,1.52
77,81,B Buchbach Pipinsried,2.75,3.15,2.45,1.7,2.5,2.02,Buchbach Pipinsried,95,76,Buchbach Pipinsried,2.80,3.15,2.40,1.67,2.5,2.07
78,82,B Burghausen Aubstadt,2.5,3.5,2.5,2.35,2.5,1.52,Burghausen TSV Aubstadt,86,77,Burghausen TSV Aubstadt,2.40,3.50,2.55,2.4,2.5,1.5
79,83,B Heimstetten Wurzburger K.,7.0,5.4,1.32,3.1,2.5,1.32,Heimstetten Wurzburger Kickers,86,81,Heimstetten Wurzburger Kickers,6.70,5.20,1.34,3.35,2.5,1.28
80,84,B Illertissen Nurnberg II,3.2,3.7,2.0,2.3,2.5,1.55,Illertissen Nurnberg 2,89,83,Illertissen Nurnberg 2,3.10,3.65,2.04,2.4,2.5,1.51
81,85,B Schweinfurt Eichstatt,1.6,4.0,4.7,2.42,2.5,1.5,Schweinfurt Eichstatt,95,91,Schweinfurt Eichstatt,1.61,4.05,4.55,2.55,2.5,1.45
82,86, Aalborg Odense,2.15,3.55,3.2,1.97,2.5,1.75,Aalborg Odense,100,67,Aalborg Odense,2.30,3.50,3.05,2.02,2.5,1.78
83,87, Vilnius BFA Minija Kretinga,1.6,3.85,4.35,2.45,2.5,1.48,BFA Vilnius Minija Kretinga,100,94,BFA Vilnius Minija Kretinga,1.63,4.20,4.15,2.6,2.5,1.44
84,88, Aue Meppen,2.1,3.5,3.35,1.95,2.5,1.77,Aue Meppen,100,72,Aue Meppen,2.20,3.30,3.20,1.92,2.5,1.8
85,89,ZG Landvetter IS Vastra Frolunda IF,2.95,3.8,2.05,2.6,2.5,1.45,Landvetter IS Frolunda,77,68,Landvetter IS Frolunda,3.10,3.70,2.02,2.55,2.5,1.46
86,90,ZG Onsala BK Varberg GIF,1.45,4.65,5.45,3.4,2.5,1.27,Onsala Varbergs GIF,84,69,Onsala Varbergs GIF,1.43,4.85,5.45,3.5,2.5,1.25
87,92, Wiener SK Mauerwerk,1.88,3.75,3.2,2.55,2.5,1.45,Wiener Sport Club Mauerwerk,78,115,Wiener Sport Club Mauerwerk,1.92,3.80,3.25,2.55,2.5,1.46
88,93, Traiskirchen TWL Elektra,2.7,3.3,2.3,1.97,2.5,1.75,Traiskirchen TWL Elektra,100,112,Traiskirchen TWL Elektra,2.75,3.15,2.45,1.9,2.5,1.8
89,94, Vocklamarkt WSC Hertha,11.1,5.9,1.18,2.85,2.5,1.37,Vocklamarkt WSC Wels,71,114,Vocklamarkt WSC Wels,15.00,6.80,1.14,3.0,2.5,1.33
90,95,Z VV Alkmaar W Excelsior W,1.8,4.1,3.5,2.85,2.5,1.37,VV Alkmaar W Excelsior W,96,113,VV Alkmaar W Excelsior W,1.75,4.15,3.60,2.9,2.5,1.36
91,96,Z Zwolle W Fortuna Sittard W,3.6,4.0,1.8,2.6,2.5,1.45,Zwolle W Fortuna Sittard W,96,117,Zwolle W Fortuna Sittard W,3.85,3.90,1.74,2.6,2.5,1.44
92,97,S Hannover II Hildesheim,1.85,3.75,3.65,2.1,2.5,1.65,Hannover 2 Hildesheim,84,106,Hannover 2 Hildesheim,1.77,3.75,3.90,2.28,2.5,1.56
93,98,Z Oberhausen Duren,2.05,3.7,3.1,2.2,2.5,1.6,Oberhausen Duren,94,110,Oberhausen Duren,2.10,3.55,3.00,2.22,2.5,1.59
94,99, Drassburg Kremser SC,2.2,3.75,2.6,2.75,2.5,1.4,ASV Drassburg Kremser,83,70,ASV Drassburg Kremser,2.38,3.60,2.55,2.65,2.5,1.42
95,100, Weiz Gleisdorf 09,2.75,3.55,2.15,2.22,2.5,1.58,SC Weiz Gleisdorf,82,90,SC Weiz Gleisdorf,2.50,3.60,2.40,2.3,2.5,1.54
96,101, Kalsdorf Treibach,1.9,3.9,3.1,2.85,2.5,1.37,Kalsdorf Treibach,100,84,Kalsdorf Treibach,1.87,4.33,3.10,3.05,2.5,1.33
97,102, DSC Bad Gleichenberg,2.3,3.55,2.55,2.48,2.5,1.47,Deutschlandsberger Bad Gleichenberg,73,78,Deutschlandsberger Bad Gleichenberg,2.30,3.40,2.75,2.55,2.5,1.45
98,103, Martigues Paris 13 Atletico,1.95,3.15,3.9,1.6,2.5,2.18,FC Martigues Paris 13 Atletico,95,104,FC Martigues Paris 13 Atletico,2.05,3.15,3.75,1.62,2.5,2.18
99,104, Nancy Cholet,1.8,3.5,4.1,1.8,2.5,1.9,Nancy Cholet,100,109,Nancy Cholet,1.81,3.50,4.30,1.79,2.5,1.93
100,105, Orleans Villefranche,2.3,3.15,2.95,1.65,2.5,2.08,Orleans Villefranche,100,111,Orleans Villefranche,2.50,3.10,2.88,1.62,2.5,2.18
101,106,Z Feyenoord W Telstar W,1.18,6.7,11.4,3.2,2.5,1.3,Feyenoord Rotterdam W SC Telstar VVNH W,68,105,Feyenoord Rotterdam W SC Telstar VVNH W,1.15,7.30,12.00,3.2,2.5,1.29
102,107, Al Aqaba Al Sareeh,2.2,2.9,3.25,1.6,2.5,2.2,Aqaba Al Sareeh,91,100,Aqaba Al Sareeh,2.35,2.95,3.05,1.6,2.5,2.2
103,108, Yverdon Aarau,2.45,3.65,2.5,2.43,2.5,1.5,Yverdon Aarau,100,116,Yverdon Aarau,2.45,3.70,2.55,2.45,2.5,1.5
104,109, E. Virton Club Brugge B,2.3,3.3,2.85,1.97,2.5,1.75,Virton Club Brugge KV U23,81,47,Virton Club Brugge KV U23,2.35,3.25,3.00,1.88,2.5,1.84
105,110, Genk B Dender,2.05,3.6,3.15,2.05,2.5,1.7,Genk U23 Dender,79,42,Genk U23 Dender,2.03,3.50,3.45,2.1,2.5,1.67
106,111, Almere City Roda,2.5,3.35,2.75,1.85,2.5,1.85,Almere City Roda,100,118,Almere City Roda,2.45,3.35,2.80,1.93,2.5,1.79
107,112, De Graafschap Jong AZ Alkmaar,1.52,4.5,5.5,2.32,2.5,1.55,De Graafschap AZ Alkmaar 2,87,121,De Graafschap AZ Alkmaar 2,1.55,4.35,5.40,2.4,2.5,1.52
108,113, Den Bosch Heracles,4.9,4.15,1.62,2.23,2.5,1.6,Den Bosch Heracles,100,122,Den Bosch Heracles,4.90,4.05,1.65,2.3,2.5,1.55
109,114, Den Haag Jong PSV,1.9,3.85,3.6,2.23,2.5,1.6,Den Haag PSV 2,77,123,Den Haag PSV 2,1.93,3.70,3.65,2.28,2.5,1.57
110,115, Eindhoven Dordrecht,1.48,4.5,6.0,2.35,2.5,1.55,Eindhoven Dordrecht,100,124,Eindhoven Dordrecht,1.48,4.35,6.50,2.22,2.5,1.59
111,116,1 Mezokovesd Paks,2.3,3.75,2.75,2.5,2.5,1.48,Mezokovesd Zsory Paks,79,129,Mezokovesd Zsory Paks,2.28,3.75,2.75,2.7,2.5,1.42
112,117, Uni. Craiova Voluntari,1.55,3.85,6.3,1.65,2.5,2.13,Universitatea Craiova FC Voluntari,76,137,Universitatea Craiova FC Voluntari,1.53,3.70,6.90,1.65,2.5,2.12
