,Unnamed: 0_x,teams_x,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched,score,Unnamed: 0_y,teams_y,1_star,X_star,2_star,under_star,goals_star,over_star
20,73,Augsburg 2 Hankofen Hailing,1.85,3.80,3.50,2.35,2.5,1.52,Augsburg II  Hankofen-Hailing,91,293,Augsburg II  Hankofen-Hailing,1.83,3.75,3.55,2.3,2.5,1.52
21,74,BSV Rehden Drochtersen Assel,3.20,3.55,2.02,2.07,2.5,1.67,Schwarz-Weis Rehden  Drochtersen/Assel,74,300,Schwarz-Weis Rehden  Drochtersen/Assel,2.95,3.50,2.08,2.02,2.5,1.66
22,76,Buchbach Pipinsried,2.80,3.15,2.40,1.67,2.5,2.07,Buchbach  FC Pipinsried,93,294,Buchbach  FC Pipinsried,2.75,3.10,2.4,1.63,2.5,2.11
23,77,Burghausen TSV Aubstadt,2.40,3.50,2.55,2.4,2.5,1.5,Burghausen  TSV Aubstadt,100,295,Burghausen  TSV Aubstadt,2.25,3.60,2.65,2.35,2.5,1.51
24,78,Deutschlandsberger Bad Gleichenberg,2.30,3.40,2.75,2.55,2.5,1.45,Deutschlandsberger  Bad Gleichenberg,100,502,Deutschlandsberger  Bad Gleichenberg,2.08,3.80,2.75,2.5,2.5,1.43
25,80,Hall SPG Silz / Moetz,9.00,6.00,1.23,3.45,2.5,1.27,Hall  Motz/Silz,85,507,Hall  Motz/Silz,7.25,5.40,1.21,5.0,2.5,1.25
26,81,Heimstetten Wurzburger Kickers,6.70,5.20,1.34,3.35,2.5,1.28,Heimstetten  Wurzburger Kickers,100,296,Heimstetten  Wurzburger Kickers,6.50,4.95,1.34,3.0,2.5,1.32
27,83,Illertissen Nurnberg 2,3.10,3.65,2.04,2.4,2.5,1.51,Illertissen  Nurnberg II,93,297,Illertissen  Nurnberg II,3.30,3.70,1.92,2.35,2.5,1.51
28,84,Kalsdorf Treibach,1.87,4.33,3.10,3.05,2.5,1.33,Kalsdorf  Treibach Al.,92,503,Kalsdorf  Treibach Al.,1.91,3.90,2.9,2.85,2.5,1.32
29,86,Kickers Offenbach Barockstadt Fulda Lehnerz,1.70,3.75,4.25,2.18,2.5,1.6,Kickers Offenbach  Fulda-Lehnerz,84,329,Kickers Offenbach  Fulda-Lehnerz,1.71,3.70,4.15,2.14,2.5,1.61
30,89,SAK 1914 Seekirchen,3.35,3.70,1.92,2.7,2.5,1.4,SAK 1914  Seekirchen,100,500,SAK 1914  Seekirchen,3.60,3.95,1.74,2.65,2.5,1.39
31,90,SC Weiz Gleisdorf,2.50,3.60,2.40,2.3,2.5,1.54,Weiz  Gleisdorf,90,504,Weiz  Gleisdorf,2.65,3.55,2.22,2.23,2.5,1.53
32,91,Schweinfurt Eichstatt,1.61,4.05,4.55,2.55,2.5,1.45,Schweinfurt  Eichstätt,98,291,Schweinfurt  Eichstätt,1.59,4.05,4.5,2.5,2.5,1.45
33,92,Ulm Balingen,1.56,3.80,5.40,1.95,2.5,1.76,Ulm  TSG Balingen,86,331,Ulm  TSG Balingen,1.57,3.75,5.15,1.93,2.5,1.75
34,93,Unterhaching SpVgg Ansbach 09,1.43,4.70,5.60,2.65,2.5,1.42,Unterhaching  SpVgg Ansbach,95,298,Unterhaching  SpVgg Ansbach,1.42,4.50,5.9,2.55,2.5,1.44
35,95,Eintracht Trier Rot Weiss Koblenz,1.94,3.40,3.55,1.99,2.5,1.72,Eintracht Trier  TuS RW Koblenz,86,328,Eintracht Trier  TuS RW Koblenz,2.00,3.45,3.25,1.99,2.5,1.70
36,96,Hertha BSC 2 Halberstadt,1.33,4.90,7.60,2.4,2.5,1.5,Hertha II  Ger. Halberstadt,78,319,Hertha II  Ger. Halberstadt,1.34,4.60,7.25,2.3,2.5,1.53
37,97,Lokomotive Leipzig Erfurt,2.28,3.30,2.85,2.15,2.5,1.63,Lokomotive Leipzig  RW Erfurt,94,320,Lokomotive Leipzig  RW Erfurt,2.13,3.50,2.95,2.14,2.5,1.61
